"ds","y"
"2007-12-10",9.59076113897809
"2007-12-11",8.51959031601596
"2007-12-12",8.18367658262066
"2007-12-13",8.07246736935477
"2007-12-14",7.8935720735049
"2007-12-15",7.78364059622125
"2007-12-16",8.41405243249672
"2007-12-17",8.82922635473185
"2007-12-18",8.38251828808963
"2007-12-19",8.06965530688617
"2007-12-20",7.87929148508227
"2007-12-21",7.76174498465891
"2007-12-22",7.52940645783701
"2007-12-23",8.38526052015541
"2007-12-24",8.62011072542292
"2007-12-25",7.85243908535751
"2007-12-26",7.85399308722424
"2007-12-27",8.0519780789023
"2007-12-28",7.92660259918138
"2007-12-29",7.83834331555712
"2007-12-30",9.70314458114435
"2007-12-31",9.38597294061934
"2008-01-01",8.29379960884682
"2008-01-02",8.43468076984177
"2008-01-03",8.26204284396694
"2008-01-04",8.10681603894705
"2008-01-05",7.95014988765202
"2008-01-06",9.50925907635395
"2008-01-07",8.84678466694523
"2008-01-08",8.43054538469057
"2008-01-09",8.2482674474469
"2008-01-10",8.28172399041139
"2008-01-11",8.29279885820037
"2008-01-12",8.19918935907807
"2008-01-13",9.99652241850332
"2008-01-14",10.1270710070787
"2008-01-15",8.93379604393486
"2008-01-16",8.56617381363786
"2008-01-17",8.54772239645106
"2008-01-18",8.39976009452414
"2008-01-19",8.22309055116153
"2008-01-20",8.83898679349679
"2008-01-21",10.8972021813751
"2008-01-22",9.44493807333551
"2008-01-23",8.92332474406756
"2008-01-24",8.5434455625603
"2008-01-25",8.49556089128912
"2008-01-26",8.41737285613403
"2008-01-27",8.57262789830434
"2008-01-28",8.73648935100155
"2008-01-29",8.63408694288774
"2008-01-30",8.67351294567119
"2008-02-01",8.82423661734664
"2008-02-02",8.53797573059877
"2008-02-03",9.69806112202708
"2008-02-04",12.0974568371517
"2008-02-05",10.6352783566883
"2008-02-06",9.69171658751689
"2008-02-07",9.31560088263368
"2008-02-08",8.97081334141145
"2008-02-09",8.58914169072882
"2008-02-10",8.61740045183326
"2008-02-11",8.61631428228404
"2008-02-12",8.21554741194707
"2008-02-13",8.06495089174914
"2008-02-14",8.11342663994365
"2008-02-15",7.79934339821592
"2008-02-16",7.6275443904885
"2008-02-17",7.55590509361135
"2008-02-18",7.71154897962915
"2008-02-19",7.78862606562503
"2008-02-20",7.70841066725737
"2008-02-21",7.76853330092603
"2008-02-22",7.69530313496357
"2008-02-23",7.37838371299671
"2008-02-24",7.91059061225648
"2008-02-25",7.62657020629066
"2008-02-26",7.57353126274595
"2008-02-27",7.56786260546388
"2008-02-29",7.5522372875608
"2008-03-02",7.33693691370762
"2008-03-05",8.12474302038557
"2008-03-06",7.88758403166028
"2008-03-07",7.81963630236759
"2008-03-08",7.38398945797851
"2008-03-09",7.81439963380449
"2008-03-10",7.5422134631934
"2008-03-11",7.54855597916987
"2008-03-12",7.6889133368648
"2008-03-13",7.4770384723197
"2008-03-14",7.35883089834235
"2008-03-15",7.03262426102801
"2008-03-16",7.11801620446533
"2008-03-17",7.34987370473834
"2008-03-18",7.32646561384032
